Year,Quarter,Month,Day,Date,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Aboard,Fatalities (air),Ground,Casualties
1969,Qtr 1,March,16,16/03/1969,Zulia,McDonnell,McDonnell Douglas DC 9,Maracaibo Zulia,Venezuela Venezolana Internacional de Aviacion,84,84,71,155
2017,Qtr 1,March,27,27/03/2017,Zimbabwe,Britten,Britten  Norman BN2 IslanderC9,Mautaer Zimbabwe,Charter Air ETA,6,6,0,6
1961,Qtr 4,November,22,22/11/1961,Zimbabwe,VP,VP  YRX,Harare Zimbabwe,Services Air Rhodesian,3,3,0,3
1958,Qtr 4,December,26,26/12/1958,Zimbabwe,Douglas,Douglas DC 6BF,Salisbury Zimbabwe,Zimbabwe)Union Aeromaritime de Transport          (Harare,70,3,0,3
1990,Qtr 1,February,17,17/02/1990,Zambia,DHC,DHC  5 BuffaloAF316,Near Ngwerere Zambia,Force Air Zambian - Military,29,29,0,29
2005,Qtr 2,May,18,18/05/2005,Zambia,Yunshuji,Yunshuji Y 12AF,Mongu Zambia,Force Air Zambia - Military,13,13,0,13
1977,Qtr 2,May,14,14/05/1977,Zambia,Boeing,Boeing 707 321CG,Near Lusaka Zambia,Cargo IAS,6,6,0,6
1961,Qtr 3,September,17,17/09/1961,Zambia,Douglas,Douglas DC 6BSE,Ndola Zambia,Sweden Transair,16,16,0,16
1997,Qtr 3,September,12,12/09/1997,Zaire,de Havilland,de Havilland Canada DHC 6 Twin Otter 3009Q,Near Uvira Zaire,Commuter Air TMK,22,22,0,22
1996,Qtr 1,January,8,08/01/1996,Zaire,Antonov,Antonov AN 32BRA,Kinshasa Zaire,Air African,6,2,225,227
1960,Qtr 3,July,19,19/07/1960,Zaire,Fairchild,Fairchild C 119GCP,Near Goma Zaire,Force Air Belgian Royal - Military,41,37,0,37
1949,Qtr 3,August,27,27/08/1949,Zaire,Douglas,Douglas C 47B,Leopoldville Zaire,Sabena,20,5,0,5
1990,Qtr 2,April,20,20/04/1990,Zaire,Lockheed,Lockheed C 130H9T,Near Kinshasa Zaire,Force Air Zairean - Military,24,20,0,20
