Year,Quarter,Month,Day,Date,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Aboard,Fatalities (air),Ground,Casualties
1969,Qtr 1,March,16,1969-03-16,Zulia,Mcdonnell,Mcdonnell Douglas Dc 9,Maracaibo Zulia,Venezuela Venezolana Internacional De Aviacion,84,84,71,155
2017,Qtr 1,March,27,2017-03-27,Zimbabwe,Britten,Britten  Norman Bn2 Islanderc9,Mautaer Zimbabwe,Charter Air Eta,6,6,0,6
1961,Qtr 4,November,22,1961-11-22,Zimbabwe,Vp,Vp  Yrx,Harare Zimbabwe,Services Air Rhodesian,3,3,0,3
1958,Qtr 4,December,26,1958-12-26,Zimbabwe,Douglas,Douglas Dc 6Bf,Salisbury Zimbabwe,Zimbabwe)Union Aeromaritime De Transport          (Harare,70,3,0,3
1990,Qtr 1,February,17,1990-02-17,Zambia,Dhc,Dhc  5 Buffaloaf316,Near Ngwerere Zambia,Force Air Zambian - Military,29,29,0,29
2005,Qtr 2,May,18,2005-05-18,Zambia,Yunshuji,Yunshuji Y 12Af,Mongu Zambia,Force Air Zambia - Military,13,13,0,13
1977,Qtr 2,May,14,1977-05-14,Zambia,Boeing,Boeing 707 321Cg,Near Lusaka Zambia,Cargo Ias,6,6,0,6
1961,Qtr 3,September,17,1961-09-17,Zambia,Douglas,Douglas Dc 6Bse,Ndola Zambia,Sweden Transair,16,16,0,16
1997,Qtr 3,September,12,1997-09-12,Zaire,De Havilland,De Havilland Canada Dhc 6 Twin Otter 3009Q,Near Uvira Zaire,Commuter Air Tmk,22,22,0,22
1996,Qtr 1,January,8,1996-01-08,Zaire,Antonov,Antonov An 32Bra,Kinshasa Zaire,Air African,6,2,225,227
1960,Qtr 3,July,19,1960-07-19,Zaire,Fairchild,Fairchild C 119Gcp,Near Goma Zaire,Force Air Belgian Royal - Military,41,37,0,37
1949,Qtr 3,August,27,1949-08-27,Zaire,Douglas,Douglas C 47B,Leopoldville Zaire,Sabena,20,5,0,5
1990,Qtr 2,April,20,1990-04-20,Zaire,Lockheed,Lockheed C 130H9T,Near Kinshasa Zaire,Force Air Zairean - Military,24,20,0,20
1969,Qtr 2,April,16,1969-04-16,Zaire,Curtiss,Curtiss C 469T,Kinshasa Zaire,Wigmo,45,45,0,45
1986,Qtr 1,February,5,1986-02-05,Zaire,Lockheed,Lockheed L 188Af Electra9Q,Kasongo Zaire,Aviation Glm,14,2,0,2
1980,Qtr 3,September,17,1980-09-17,Zaire,De Havilland,De Havilland Dhc 5 Buffalo9T,Near Kindu Zaire,Force Air Zairean - Military,36,36,0,36
1974,Qtr 3,August,18,1974-08-18,Zaire,Lockheed,Lockheed C 130H9T,Near Kisangani Zaire,Force Air Zairean - Military,31,31,0,31
